"exposure","outcome","model","term","HR","lo","hi","p","p_trend"
"URXMEP_z","mort_cm","Crude","q_Q2_vs_Q1",1.13376512430713,0.404645967848961,3.17666172216738,0.81123857927867,0.0780414092042136
"URXMEP_z","mort_cm","Crude","q_Q3_vs_Q1",1.56087389377319,0.54776928579393,4.44772530232596,0.404633403990081,0.0780414092042136
"URXMEP_z","mort_cm","Crude","q_Q4_vs_Q1",2.01842101309987,0.777905545069169,5.23716974631009,0.148824941705509,0.0780414092042136
"URXMEP_z","mort_cm","M1","q_Q2_vs_Q1",1.35418039809985,0.482604755149966,3.79980622036769,0.564638826684412,0.378126741954315
"URXMEP_z","mort_cm","M1","q_Q3_vs_Q1",1.9391208875426,0.651959984827313,5.76751626482103,0.233740722919209,0.378126741954315
"URXMEP_z","mort_cm","M1","q_Q4_vs_Q1",1.70530976278349,0.698144487013522,4.16544345925396,0.241449161403494,0.378126741954315
"URXMEP_z","mort_cm","M2","q_Q2_vs_Q1",1.58708487055687,0.526970080853473,4.77985084517712,0.411571778571817,0.766008310827857
"URXMEP_z","mort_cm","M2","q_Q3_vs_Q1",1.97421184422866,0.618354449808283,6.30303931200157,0.250813241901047,0.766008310827857
"URXMEP_z","mort_cm","M2","q_Q4_vs_Q1",1.55925126916958,0.610675937771827,3.98126791973806,0.353006471036248,0.766008310827857
"URXMBP_z","mort_cm","Crude","q_Q2_vs_Q1",2.23858126832758,0.924260573655791,5.42189750135699,0.0741871649379552,0.558897458237573
"URXMBP_z","mort_cm","Crude","q_Q3_vs_Q1",1.08117897698855,0.459639521754594,2.54318422362758,0.858057974855583,0.558897458237573
"URXMBP_z","mort_cm","Crude","q_Q4_vs_Q1",1.1517268448083,0.460929369994878,2.87782643372632,0.762397479800512,0.558897458237573
"URXMBP_z","mort_cm","M1","q_Q2_vs_Q1",2.40653156395083,0.963421322560221,6.01127879638519,0.0600833506598289,0.954907973183164
"URXMBP_z","mort_cm","M1","q_Q3_vs_Q1",0.966300895327799,0.407815553485736,2.28960718229194,0.937920191208816,0.954907973183164
"URXMBP_z","mort_cm","M1","q_Q4_vs_Q1",1.45596752595031,0.592279997112071,3.57912042776745,0.413005729432714,0.954907973183164
"URXMBP_z","mort_cm","M2","q_Q2_vs_Q1",2.57613822504758,1.07845365331301,6.15370733286868,0.0331743191533617,0.696418250229746
"URXMBP_z","mort_cm","M2","q_Q3_vs_Q1",0.967336803244215,0.404298027139461,2.31448196156534,0.94052665225498,0.696418250229746
"URXMBP_z","mort_cm","M2","q_Q4_vs_Q1",1.33626004224642,0.54556961189845,3.27289288399141,0.525929997261715,0.696418250229746
"URXMIB_z","mort_cm","Crude","q_Q2_vs_Q1",0.611250794274286,0.261084294550329,1.43106093051078,0.25672786849312,0.0498799233886111
"URXMIB_z","mort_cm","Crude","q_Q3_vs_Q1",0.395388835921717,0.159764384080178,0.978518037493728,0.0447567033433479,0.0498799233886111
"URXMIB_z","mort_cm","Crude","q_Q4_vs_Q1",0.384784267886292,0.164791479676791,0.898462305837541,0.0272838086363904,0.0498799233886111
"URXMIB_z","mort_cm","M1","q_Q2_vs_Q1",0.694062314427898,0.302162652290161,1.59424896709744,0.389395844833676,0.218396512107771
"URXMIB_z","mort_cm","M1","q_Q3_vs_Q1",0.652709934579203,0.248091204188598,1.71723241898782,0.387368722107878,0.218396512107771
"URXMIB_z","mort_cm","M1","q_Q4_vs_Q1",0.535472475635633,0.218980327212733,1.30939055490954,0.170968018235608,0.218396512107771
"URXMIB_z","mort_cm","M2","q_Q2_vs_Q1",0.753898633990203,0.289517127161507,1.9631417177445,0.562901912547691,0.226533290337041
"URXMIB_z","mort_cm","M2","q_Q3_vs_Q1",0.767943864946136,0.283184735309483,2.08251966358252,0.603940461511315,0.226533290337041
"URXMIB_z","mort_cm","M2","q_Q4_vs_Q1",0.52625279654431,0.195517212258401,1.4164584420562,0.203805659075327,0.226533290337041
"URXMZP_z","mort_cm","Crude","q_Q2_vs_Q1",1.00327140659976,0.491174876949927,2.04927727890136,0.992848868463486,0.705196607975593
"URXMZP_z","mort_cm","Crude","q_Q3_vs_Q1",0.948483047426601,0.347043318697995,2.59224149489684,0.91787811787413,0.705196607975593
"URXMZP_z","mort_cm","Crude","q_Q4_vs_Q1",0.864540027361806,0.364590000959358,2.05005473804552,0.741086844997598,0.705196607975593
"URXMZP_z","mort_cm","M1","q_Q2_vs_Q1",1.02414443719903,0.427823570363018,2.45164572712937,0.957279020597201,0.415018326014761
"URXMZP_z","mort_cm","M1","q_Q3_vs_Q1",0.947163203729704,0.340396245561645,2.63551124960058,0.91719659275225,0.415018326014761
"URXMZP_z","mort_cm","M1","q_Q4_vs_Q1",1.39719070363908,0.546770434300172,3.57031349881613,0.484723983660283,0.415018326014761
"URXMZP_z","mort_cm","M2","q_Q2_vs_Q1",0.908533317026311,0.354719600698431,2.32700078180507,0.841558543062893,0.677867420733334
"URXMZP_z","mort_cm","M2","q_Q3_vs_Q1",0.909084286678731,0.305670785443599,2.7036742784785,0.863905691102361,0.677867420733334
"URXMZP_z","mort_cm","M2","q_Q4_vs_Q1",1.12921212847708,0.417405841646069,3.05486867666059,0.810857510269236,0.677867420733334
"URXMHP_z","mort_cm","Crude","q_Q2_vs_Q1",4.56464998178223,1.9218959320291,10.8413931831294,0.000581234226161462,0.00177913831054592
"URXMHP_z","mort_cm","Crude","q_Q3_vs_Q1",1.36387686654037,0.519255705610278,3.58235853161737,0.528793935155678,0.00177913831054592
"URXMHP_z","mort_cm","Crude","q_Q4_vs_Q1",0.482875907875959,0.17033276613351,1.36890363316397,0.170897521398078,0.00177913831054592
"URXMHP_z","mort_cm","M1","q_Q2_vs_Q1",3.28069933892905,1.36160361804601,7.90464126989843,0.00809928840086079,0.279095347174937
"URXMHP_z","mort_cm","M1","q_Q3_vs_Q1",1.52843282776417,0.533973261821114,4.37495109964853,0.429141688187102,0.279095347174937
"URXMHP_z","mort_cm","M1","q_Q4_vs_Q1",0.891968578913998,0.284273171033384,2.79874440094954,0.844646730349451,0.279095347174937
"URXMHP_z","mort_cm","M2","q_Q2_vs_Q1",3.62924956965867,1.41118256310582,9.33362754276033,0.0074813042020417,0.265756336404422
"URXMHP_z","mort_cm","M2","q_Q3_vs_Q1",1.75205005560327,0.610750099039853,5.02608088343368,0.296969486695967,0.265756336404422
"URXMHP_z","mort_cm","M2","q_Q4_vs_Q1",0.862833230559455,0.261296706072998,2.84917936757183,0.808730647474524,0.265756336404422
"URXMHH_z","mort_cm","Crude","q_Q2_vs_Q1",2.78098123459972,1.07307108782779,7.20721741077883,0.0352811510754155,0.981213239240807
"URXMHH_z","mort_cm","Crude","q_Q3_vs_Q1",1.79433429018555,0.666644252983746,4.82961569161565,0.247157632677486,0.981213239240807
"URXMHH_z","mort_cm","Crude","q_Q4_vs_Q1",1.68367151860242,0.625677048225921,4.53069165728677,0.302298699190456,0.981213239240807
"URXMHH_z","mort_cm","M1","q_Q2_vs_Q1",2.41028104983459,0.873729045126496,6.64903469971135,0.0892742813069335,0.459126168413405
"URXMHH_z","mort_cm","M1","q_Q3_vs_Q1",1.83065950643753,0.674014688595805,4.97216794413188,0.23557619184201,0.459126168413405
"URXMHH_z","mort_cm","M1","q_Q4_vs_Q1",2.14137617856892,0.798028377473684,5.74602616596003,0.130539641873236,0.459126168413405
"URXMHH_z","mort_cm","M2","q_Q2_vs_Q1",2.60829265247709,0.95380661483424,7.13267286592294,0.0617870614244968,0.353141131939955
"URXMHH_z","mort_cm","M2","q_Q3_vs_Q1",1.6685561358589,0.557787185007397,4.99129354948421,0.359798083869054,0.353141131939955
"URXMHH_z","mort_cm","M2","q_Q4_vs_Q1",2.29950280251242,0.885143891617029,5.97384582195171,0.0873599338323467,0.353141131939955
"URXMOH_z","mort_cm","Crude","q_Q2_vs_Q1",2.14818248755097,0.867483431441594,5.31962667246789,0.098393083320504,0.975179711352276
"URXMOH_z","mort_cm","Crude","q_Q3_vs_Q1",1.14476443766255,0.346432347617695,3.78280384827986,0.824551118442836,0.975179711352276
"URXMOH_z","mort_cm","Crude","q_Q4_vs_Q1",1.43379510150127,0.570806090433689,3.60151797176357,0.443214976078883,0.975179711352276
"URXMOH_z","mort_cm","M1","q_Q2_vs_Q1",2.08209652178427,0.79901470923947,5.42558963670705,0.133408338222449,0.79393621599085
"URXMOH_z","mort_cm","M1","q_Q3_vs_Q1",1.21748403531968,0.344275595779002,4.30546746394939,0.760095364293223,0.79393621599085
"URXMOH_z","mort_cm","M1","q_Q4_vs_Q1",1.5610184199054,0.59579223045995,4.08998033660623,0.364833350686401,0.79393621599085
"URXMOH_z","mort_cm","M2","q_Q2_vs_Q1",2.52970808386816,0.985071924017575,6.49640176880501,0.053767144233295,0.696898930809998
"URXMOH_z","mort_cm","M2","q_Q3_vs_Q1",1.20003369406609,0.323081069894598,4.45733594779699,0.785340843024021,0.696898930809998
"URXMOH_z","mort_cm","M2","q_Q4_vs_Q1",1.71569735067783,0.666096514454798,4.41920552839447,0.26345771017048,0.696898930809998
"URXECP_z","mort_cm","Crude","q_Q2_vs_Q1",2.4993158294666,0.954209791475369,6.54633778779825,0.0622436093601682,0.320332644064988
"URXECP_z","mort_cm","Crude","q_Q3_vs_Q1",1.10840618840329,0.475339145210132,2.58460573018366,0.811676871299648,0.320332644064988
"URXECP_z","mort_cm","Crude","q_Q4_vs_Q1",2.19207353107088,0.834803033293726,5.75607200019701,0.111071990865837,0.320332644064988
"URXECP_z","mort_cm","M1","q_Q2_vs_Q1",1.90744337272102,0.68650230895653,5.29982226231337,0.215516622173252,0.324437396167111
"URXECP_z","mort_cm","M1","q_Q3_vs_Q1",0.913671171860133,0.360831764976213,2.31352971472259,0.848943719908269,0.324437396167111
"URXECP_z","mort_cm","M1","q_Q4_vs_Q1",1.98467001030624,0.736287560478483,5.34969658763384,0.175461938888755,0.324437396167111
"URXECP_z","mort_cm","M2","q_Q2_vs_Q1",1.78761079243564,0.616272901648308,5.18528777865361,0.285036991264684,0.382219218622584
"URXECP_z","mort_cm","M2","q_Q3_vs_Q1",0.769658030741361,0.300830856081851,1.96912475003394,0.584901461967952,0.382219218622584
"URXECP_z","mort_cm","M2","q_Q4_vs_Q1",1.78994315834102,0.701323419779896,4.56835807807094,0.223292946665745,0.382219218622584
"sum_dehp_mol_z","mort_cm","Crude","q_Q2_vs_Q1",2.0668424085049,0.80249199791376,5.32321512575808,0.132551519959812,0.582061051009147
"sum_dehp_mol_z","mort_cm","Crude","q_Q3_vs_Q1",1.0692176459959,0.424250542760664,2.6946963156956,0.887151751375303,0.582061051009147
"sum_dehp_mol_z","mort_cm","Crude","q_Q4_vs_Q1",1.70568384948468,0.672071566417513,4.32893986261201,0.261145334865765,0.582061051009147
"sum_dehp_mol_z","mort_cm","M1","q_Q2_vs_Q1",2.05574809030363,0.738781064606196,5.72036887956749,0.1675429984532,0.501882239458581
"sum_dehp_mol_z","mort_cm","M1","q_Q3_vs_Q1",0.969495300758292,0.345987876257119,2.71663027144313,0.953008492780957,0.501882239458581
"sum_dehp_mol_z","mort_cm","M1","q_Q4_vs_Q1",1.76386003285973,0.69771208066376,4.45914912718742,0.23041392335121,0.501882239458581
"sum_dehp_mol_z","mort_cm","M2","q_Q2_vs_Q1",2.30287551128256,0.854874943968988,6.20352211499286,0.0989761760663456,0.384709139609416
"sum_dehp_mol_z","mort_cm","M2","q_Q3_vs_Q1",0.81747775797529,0.285780157628873,2.33840547338543,0.707045410268831,0.384709139609416
"sum_dehp_mol_z","mort_cm","M2","q_Q4_vs_Q1",1.91131251842334,0.788304089836546,4.63414510996539,0.151699004739419,0.384709139609416
"sum_hmw_z","mort_cm","Crude","q_Q2_vs_Q1",2.02105230955782,0.787554126830566,5.18650375740812,0.143387652019151,0.49561425981157
"sum_hmw_z","mort_cm","Crude","q_Q3_vs_Q1",1.08122776776235,0.426913522418961,2.73838476503699,0.869165890611597,0.49561425981157
"sum_hmw_z","mort_cm","Crude","q_Q4_vs_Q1",1.76805550232956,0.698826062514926,4.47324509917098,0.228859712062433,0.49561425981157
"sum_hmw_z","mort_cm","M1","q_Q2_vs_Q1",2.21968596532475,0.772389808209307,6.37891092333589,0.138753641709087,0.235824250488487
"sum_hmw_z","mort_cm","M1","q_Q3_vs_Q1",0.811914364866136,0.295682886730018,2.22943215674801,0.685997583124046,0.235824250488487
"sum_hmw_z","mort_cm","M1","q_Q4_vs_Q1",2.22930683363382,0.857671970830441,5.79453349008764,0.0999825549455255,0.235824250488487
"sum_hmw_z","mort_cm","M2","q_Q2_vs_Q1",2.46836627353546,0.853590358214927,7.13788763156719,0.0953615201313302,0.145462035338279
"sum_hmw_z","mort_cm","M2","q_Q3_vs_Q1",0.710019195306611,0.244010471302393,2.06600665542383,0.529721293774789,0.145462035338279
"sum_hmw_z","mort_cm","M2","q_Q4_vs_Q1",2.53778836839549,1.02823395098943,6.26352572443861,0.0433453787259608,0.145462035338279
"sum_lmw_z","mort_cm","Crude","q_Q2_vs_Q1",1.0004098184453,0.392461300555447,2.5501108094615,0.99931523520017,0.410579655235615
"sum_lmw_z","mort_cm","Crude","q_Q3_vs_Q1",0.981246463633256,0.306562222526728,3.14078040815621,0.974556783304542,0.410579655235615
"sum_lmw_z","mort_cm","Crude","q_Q4_vs_Q1",1.31770234329191,0.526801498708292,3.29600327594828,0.555330172040849,0.410579655235615
"sum_lmw_z","mort_cm","M1","q_Q2_vs_Q1",1.01163871555701,0.385437403670528,2.65519869391982,0.98124857933942,0.643393036821313
"sum_lmw_z","mort_cm","M1","q_Q3_vs_Q1",1.20927263328787,0.378196352307573,3.86661662043139,0.748658547716799,0.643393036821313
"sum_lmw_z","mort_cm","M1","q_Q4_vs_Q1",1.20213251769734,0.46937411012071,3.07882893185926,0.701222786601654,0.643393036821313
"sum_lmw_z","mort_cm","M2","q_Q2_vs_Q1",1.04622065244619,0.395634261920972,2.76664020019475,0.927438096491015,0.980013767719149
"sum_lmw_z","mort_cm","M2","q_Q3_vs_Q1",1.04105058428766,0.289448965581327,3.74430883478547,0.950880327741894,0.980013767719149
"sum_lmw_z","mort_cm","M2","q_Q4_vs_Q1",1.01132430688259,0.359872260398698,2.84205526860678,0.982958541446005,0.980013767719149
